bucket_start,bucket_end,bike_count
0,99,126
100,199,33
200,299,10
300,399,8
400,499,8
500,599,9
600,699,6
700,799,14
800,899,13
900,999,17
1000,1099,19
1100,1199,16
1200,1299,25
1300,1399,36
1400,1499,39
1500,1599,40
1600,1699,54
1700,1799,70
1800,1899,81
1900,1999,116
2000,2099,116
2100,2199,156
2200,2299,164
2300,2399,218
2400,2499,240
2500,2599,257
2600,2699,247
2700,2799,273
2800,2899,227
2900,2999,254
3000,3099,232
3100,3199,224
3200,3299,276
3300,3399,238
3400,3499,262
3500,3599,242
3600,3699,275
3700,3799,252
3800,3899,239
3900,3999,246
4000,4099,236
4100,4199,209
4200,4299,180
4300,4399,138
4400,4499,105
4500,4599,92
4600,4699,54
4700,4799,46
4800,4899,37
4900,4999,23
5000,5099,10
5100,5199,6
5200,5299,5
5300,5399,1
5400,5499,4
5500,5599,1
