station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Lake Shore Dr & Monroe St",41.880958,-87.616743,54250,5345,48905
"Theater on the Lake",41.926277,-87.630834,"Streeter Dr & Grand Ave",41.892278,-87.612043,44220,11830,32390
"Theater on the Lake",41.926277,-87.630834,"Michigan Ave & Oak St",41.90096039,-87.62377664,39173,12146,27027
"State St & 33rd St",41.834734,-87.625813,"Calumet Ave & 33rd St",41.8349,-87.61793,37498,35837,1661
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Streeter Dr & Grand Ave",41.892278,-87.612043,35110,6291,28819
"Millennium Park",41.8810317,-87.62408432,"Streeter Dr & Grand Ave",41.892278,-87.612043,33217,3602,29615
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Streeter Dr & Illinois St",41.891071,-87.6122,32196,2950,29246
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,"Ellis Ave & 55th St",41.7943006205,-87.6014497734,32025,24929,7096
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Streeter Dr & Grand Ave",41.892278,-87.612043,31065,4252,26813
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,"University Ave & 57th St",41.791478,-87.599861,29917,24974,4943
"Shedd Aquarium",41.8672259568,-87.6153553902,"Streeter Dr & Grand Ave",41.892278,-87.612043,27502,2069,25433
"Adler Planetarium",41.866095,-87.607267,"Lake Shore Dr & Monroe St",41.880958,-87.616743,26502,4050,22452
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Shedd Aquarium",41.8672259568,-87.6153553902,25241,3394,21847
"MLK Jr Dr & 29th St",41.842052,-87.617,"State St & 33rd St",41.834734,-87.625813,24686,24113,573
"Canal St & Adams St",41.879255,-87.639904,"Michigan Ave & Washington St",41.8838927658,-87.6246491409,23974,23357,617
"Canal St & Madison St",41.882091,-87.639833,"Michigan Ave & Washington St",41.8838927658,-87.6246491409,22699,21745,954
"Millennium Park",41.8810317,-87.62408432,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,22484,12861,9623
"Columbus Dr & Randolph St",41.884728,-87.619521,"Clinton St & Washington Blvd",41.88338,-87.64117,22313,21649,664
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,"Clinton St & Washington Blvd",41.88338,-87.64117,22222,21621,601
"Shedd Aquarium",41.8672259568,-87.6153553902,"Millennium Park",41.8810317,-87.62408432,21533,2171,19362
"Theater on the Lake",41.926277,-87.630834,"Streeter Dr & Illinois St",41.891071,-87.6122,20953,4491,16462
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,"Michigan Ave & Jackson Blvd",41.87785,-87.62408,19864,15200,4664
"University Ave & 57th St",41.791478,-87.599861,"Lake Park Ave & 56th St",41.793242,-87.587782,19588,17122,2466
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Millennium Park",41.8810317,-87.62408432,19567,3050,16517
"Kimbark Ave & 53rd St",41.799568,-87.594747,"University Ave & 57th St",41.791478,-87.599861,19524,17349,2175
"Theater on the Lake",41.926277,-87.630834,"Montrose Harbor",41.963982,-87.638181,18536,6675,11861
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Theater on the Lake",41.926277,-87.630834,18501,5512,12989
"Canal St & Adams St",41.879255,-87.639904,"Columbus Dr & Randolph St",41.884728,-87.619521,18460,17773,687
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Pine Grove Ave & Irving Park Rd",41.954383,-87.648043,18371,17543,828
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Michigan Ave & Oak St",41.90096039,-87.62377664,18102,5566,12536
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Lake Shore Dr & Monroe St",41.880958,-87.616743,17938,4664,13274
"Columbus Dr & Randolph St",41.884728,-87.619521,"Canal St & Madison St",41.882091,-87.639833,17837,17291,546
"Loomis St & Lexington St",41.872187,-87.661501,"Morgan St & Polk St",41.871737,-87.65103,17583,17279,304
"Streeter Dr & Illinois St",41.891071,-87.6122,"Lake Shore Dr & North Blvd",41.911722,-87.626804,17137,2440,14697
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Sheridan Rd & Buena Ave",41.958494,-87.654966,16667,15890,777
"Michigan Ave & Lake St",41.886024,-87.624117,"Canal St & Adams St",41.879255,-87.639904,16597,16096,501
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Kingsbury St & Erie St",41.8939139,-87.6417358,16582,15936,646
"Millennium Park",41.8810317,-87.62408432,"Streeter Dr & Illinois St",41.891071,-87.6122,16464,1817,14647
"Clark St & Berwyn Ave",41.9780306225,-87.6685649157,"Broadway & Berwyn Ave",41.978353,-87.659753,16407,15569,838
"Adler Planetarium",41.866095,-87.607267,"Shedd Aquarium",41.8672259568,-87.6153553902,16311,3303,13008
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Greenview Ave & Fullerton Ave",41.92533,-87.6658,16307,14624,1683
"Michigan Ave & 18th St",41.857926,-87.624336,"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,16091,14727,1364
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"Wabash Ave & 16th St",41.860384,-87.625813,16014,14759,1255
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Desplaines St & Kinzie St",41.888716036,-87.6444478533,15991,14686,1305
