temp_bin,total,subs,cust
-28,91,91,0
-26,37,37,0
-24,98,96,2
-22,920,888,32
-20,2198,2076,122
-18,4774,4675,99
-16,15074,14652,422
-14,17627,16898,729
-12,35355,33757,1598
-10,57390,54853,2537
-8,71359,67762,3597
-6,153790,146095,7695
-4,137666,128808,8858
-2,316787,296813,19974
0,1067103,982142,84961
2,797734,716238,81496
4,714638,627350,87288
6,950250,815365,134885
8,863682,720949,142733
10,1310158,1060053,250105
12,1223807,968364,255443
14,1067112,823921,243191
16,1648052,1248517,399535
18,1694354,1250888,443466
20,2888290,2047579,840711
22,3452785,2328556,1124229
24,2680969,1706056,974913
26,3124590,1926244,1198346
28,1937508,1202228,735280
30,1467820,898533,569287
32,548276,342173,206103
34,127829,81202,46627
36,11286,7429,3857
