user_type_label,station_a_name,station_b_name,count_ab,count_ba,diff,total,asymmetry_ratio
Customer,Canal St & Monroe St,LaSalle St & Jackson Blvd,3712,643,3069,4355,0.7
Customer,Canal St & Madison St,Franklin St & Quincy St,570,3224,2654,3794,0.7
Customer,Orleans St & Merchandise Mart Plaza,Franklin St & Jackson Blvd,730,3758,3028,4488,0.67
Customer,Columbus Dr & Randolph St,Clark St & Randolph St,6009,1232,4777,7241,0.66
Customer,Michigan Ave & Madison St,Wacker Dr & Washington St Corral,390,1912,1522,2302,0.66
Customer,Columbus Dr & Randolph St,State St & Randolph St,9047,2079,6968,11126,0.63
Customer,Franklin St & Monroe St,Canal St & Madison St,1672,392,1280,2064,0.62
Customer,LaSalle St & Jackson Blvd,Canal St & Jackson Blvd,385,1664,1279,2049,0.62
Customer,Clinton St & Washington Blvd,LaSalle St & Washington St,4037,1040,2997,5077,0.59
Customer,Wacker Dr & Washington St Corral,Ada St & Washington Blvd,551,1946,1395,2497,0.56
Customer,Franklin St & Jackson Blvd,Canal St & Madison St,4493,1397,3096,5890,0.53
Customer,Dearborn St & Adams St,Canal St & Adams St,4140,1282,2858,5422,0.53
Customer,Franklin St & Jackson Blvd,Michigan Ave & Washington St,3051,933,2118,3984,0.53
Customer,Wabash Ave & Adams St,Franklin St & Jackson Blvd,494,1591,1097,2085,0.53
Customer,Dearborn St & Monroe St,Canal St & Monroe St,1036,3287,2251,4323,0.52
Customer,Clinton St & Washington Blvd,Clark St & Randolph St,1814,5556,3742,7370,0.51
Customer,Franklin St & Monroe St,Michigan Ave & Washington St,3841,1284,2557,5125,0.5
Customer,Dearborn St & Monroe St,Jefferson St & Monroe St,581,1737,1156,2318,0.5
Customer,Green St & Madison St,Canal St & Madison St,822,2396,1574,3218,0.49
Customer,Michigan Ave & Lake St,Canal St & Jackson Blvd,715,2113,1398,2828,0.49
Customer,Canal St & Madison St,Clark St & Congress Pkwy,696,2011,1315,2707,0.49
Customer,Desplaines St & Kinzie St,Canal St & Madison St,1106,3187,2081,4293,0.48
Customer,Stetson Ave & South Water St,Clark St & Randolph St,2135,754,1381,2889,0.48
Customer,Dearborn St & Adams St,Franklin St & Quincy St,1837,638,1199,2475,0.48
Customer,LaSalle St & Adams St,Canal St & Madison St,2323,831,1492,3154,0.47
Customer,Wabash Ave & Adams St,Canal St & Adams St,4944,1834,3110,6778,0.46
Customer,Dearborn St & Adams St,Franklin St & Monroe St,2416,898,1518,3314,0.46
Customer,Ogden Ave & Chicago Ave,Damen Ave & Chicago Ave,1917,705,1212,2622,0.46
Customer,Wacker Dr & Washington St Corral,Michigan Ave & Washington St,8962,3391,5571,12353,0.45
Customer,Daley Center Plaza,Wacker Dr & Washington St Corral,1023,2681,1658,3704,0.45
Customer,Clark St & Lake St,Michigan Ave & Lake St,2303,870,1433,3173,0.45
Customer,Desplaines St & Kinzie St,Ogden Ave & Race Ave,2464,966,1498,3430,0.44
Customer,Canal St & Monroe St,Michigan Ave & Washington St,4204,1686,2518,5890,0.43
Customer,State St & Van Buren St,Canal St & Madison St,4084,1636,2448,5720,0.43
Customer,LaSalle St & Washington St,Canal St & Madison St,4024,1611,2413,5635,0.43
Customer,Canal St & Adams St,Aberdeen St & Jackson Blvd,3895,1566,2329,5461,0.43
Customer,Orleans St & Merchandise Mart Plaza,Franklin St & Monroe St,1417,3558,2141,4975,0.43
Customer,Franklin St & Lake St,Michigan Ave & Lake St,3025,1196,1829,4221,0.43
Customer,Clinton St & Washington Blvd,Michigan Ave & Madison St,2070,835,1235,2905,0.43
