Name,lat,long
Navy Pier,41.891983,-87.605116
Griffin Museum of Science and Industry,41.793452,-87.583277
Institute for the Study of Ancient Cultures Museum,41.792300,-87.597696
Peggy Notebaert Nature Museum,41.927747,-87.634786
Museum Of Contemporary Art Chicago,41.900945,-87.621737
The Richard H. Driehaus Museum,41.899156,-87.629290
The Art Institute of Chicago,41.883566,-87.622767
Color Factory Chicago,41.883311,-87.636844
WNDR Museum,41.886378,-87.655383
Museum of Illusions Chicago,41.884908,-87.627059
The Museum Campus,41.868292,-87.615557
Field Museum,41.869954,-87.616416
Medieval Torture Museum,41.888487,-87.628604
American Writers Museum,41.888103,-87.624827
Chicago Children's Museum,41.896856,-87.608348
National Museum of Mexican Art,41.859535,-87.673579
Chicago Sports Museum,41.901520,-87.623626
The Bean,41.882668,-87.623310
Chicago History Museum,41.913770,-87.631057
International Museum of Surgical Science,41.911503,-87.625834
Millennium Park,41.882980,-87.622594
Shedd Aquarium,41.867872,-87.614059
Lincoln Park Zoo,41.921891,-87.633597
Chicago Riverwalk,41.888832,-87.623230
