station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Streeter Dr & Grand Ave",41.892278,-87.612043,54250,5345,48905,1
"Lake Shore Dr & Monroe St",41.880958,-87.616743,54250,5345,48905,1
"Theater on the Lake",41.926277,-87.630834,44220,11830,32390,2
"Streeter Dr & Grand Ave",41.892278,-87.612043,44220,11830,32390,2
"Theater on the Lake",41.926277,-87.630834,39173,12146,27027,3
"Michigan Ave & Oak St",41.90096039,-87.62377664,39173,12146,27027,3
"State St & 33rd St",41.834734,-87.625813,37498,35837,1661,4
"Calumet Ave & 33rd St",41.8349,-87.61793,37498,35837,1661,4
"Lake Shore Dr & North Blvd",41.911722,-87.626804,35110,6291,28819,5
"Streeter Dr & Grand Ave",41.892278,-87.612043,35110,6291,28819,5
"Millennium Park",41.8810317,-87.62408432,33217,3602,29615,6
"Streeter Dr & Grand Ave",41.892278,-87.612043,33217,3602,29615,6
"Lake Shore Dr & Monroe St",41.880958,-87.616743,32196,2950,29246,7
"Streeter Dr & Illinois St",41.891071,-87.6122,32196,2950,29246,7
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,32025,24929,7096,8
"Ellis Ave & 55th St",41.7943006205,-87.6014497734,32025,24929,7096,8
"Michigan Ave & Oak St",41.90096039,-87.62377664,31065,4252,26813,9
"Streeter Dr & Grand Ave",41.892278,-87.612043,31065,4252,26813,9
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,29917,24974,4943,10
"University Ave & 57th St",41.791478,-87.599861,29917,24974,4943,10
"Shedd Aquarium",41.8672259568,-87.6153553902,27502,2069,25433,11
"Streeter Dr & Grand Ave",41.892278,-87.612043,27502,2069,25433,11
"Adler Planetarium",41.866095,-87.607267,26502,4050,22452,12
"Lake Shore Dr & Monroe St",41.880958,-87.616743,26502,4050,22452,12
"Lake Shore Dr & Monroe St",41.880958,-87.616743,25241,3394,21847,13
"Shedd Aquarium",41.8672259568,-87.6153553902,25241,3394,21847,13
"MLK Jr Dr & 29th St",41.842052,-87.617,24686,24113,573,14
"State St & 33rd St",41.834734,-87.625813,24686,24113,573,14
"Canal St & Adams St",41.879255,-87.639904,23974,23357,617,15
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,23974,23357,617,15
"Canal St & Madison St",41.882091,-87.639833,22699,21745,954,16
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,22699,21745,954,16
"Millennium Park",41.8810317,-87.62408432,22484,12861,9623,17
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,22484,12861,9623,17
"Columbus Dr & Randolph St",41.884728,-87.619521,22313,21649,664,18
"Clinton St & Washington Blvd",41.88338,-87.64117,22313,21649,664,18
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,22222,21621,601,19
"Clinton St & Washington Blvd",41.88338,-87.64117,22222,21621,601,19
"Shedd Aquarium",41.8672259568,-87.6153553902,21533,2171,19362,20
"Millennium Park",41.8810317,-87.62408432,21533,2171,19362,20
"Theater on the Lake",41.926277,-87.630834,20953,4491,16462,21
"Streeter Dr & Illinois St",41.891071,-87.6122,20953,4491,16462,21
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,19864,15200,4664,22
"Michigan Ave & Jackson Blvd",41.87785,-87.62408,19864,15200,4664,22
"University Ave & 57th St",41.791478,-87.599861,19588,17122,2466,23
"Lake Park Ave & 56th St",41.793242,-87.587782,19588,17122,2466,23
"Lake Shore Dr & Monroe St",41.880958,-87.616743,19567,3050,16517,24
"Millennium Park",41.8810317,-87.62408432,19567,3050,16517,24
"Kimbark Ave & 53rd St",41.799568,-87.594747,19524,17349,2175,25
"University Ave & 57th St",41.791478,-87.599861,19524,17349,2175,25
"Theater on the Lake",41.926277,-87.630834,18536,6675,11861,26
"Montrose Harbor",41.963982,-87.638181,18536,6675,11861,26
"Lake Shore Dr & North Blvd",41.911722,-87.626804,18501,5512,12989,27
"Theater on the Lake",41.926277,-87.630834,18501,5512,12989,27
"Canal St & Adams St",41.879255,-87.639904,18460,17773,687,28
"Columbus Dr & Randolph St",41.884728,-87.619521,18460,17773,687,28
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,18371,17543,828,29
"Pine Grove Ave & Irving Park Rd",41.954383,-87.648043,18371,17543,828,29
"Lake Shore Dr & North Blvd",41.911722,-87.626804,18102,5566,12536,30
"Michigan Ave & Oak St",41.90096039,-87.62377664,18102,5566,12536,30
"Lake Shore Dr & North Blvd",41.911722,-87.626804,17938,4664,13274,31
"Lake Shore Dr & Monroe St",41.880958,-87.616743,17938,4664,13274,31
"Columbus Dr & Randolph St",41.884728,-87.619521,17837,17291,546,32
"Canal St & Madison St",41.882091,-87.639833,17837,17291,546,32
"Loomis St & Lexington St",41.872187,-87.661501,17583,17279,304,33
"Morgan St & Polk St",41.871737,-87.65103,17583,17279,304,33
"Streeter Dr & Illinois St",41.891071,-87.6122,17137,2440,14697,34
"Lake Shore Dr & North Blvd",41.911722,-87.626804,17137,2440,14697,34
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,16667,15890,777,35
"Sheridan Rd & Buena Ave",41.958494,-87.654966,16667,15890,777,35
"Michigan Ave & Lake St",41.886024,-87.624117,16597,16096,501,36
"Canal St & Adams St",41.879255,-87.639904,16597,16096,501,36
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,16582,15936,646,37
"Kingsbury St & Erie St",41.8939139,-87.6417358,16582,15936,646,37
"Millennium Park",41.8810317,-87.62408432,16464,1817,14647,38
"Streeter Dr & Illinois St",41.891071,-87.6122,16464,1817,14647,38
"Clark St & Berwyn Ave",41.9780306225,-87.6685649157,16407,15569,838,39
"Broadway & Berwyn Ave",41.978353,-87.659753,16407,15569,838,39
"Adler Planetarium",41.866095,-87.607267,16311,3303,13008,40
"Shedd Aquarium",41.8672259568,-87.6153553902,16311,3303,13008,40
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,16307,14624,1683,41
"Greenview Ave & Fullerton Ave",41.92533,-87.6658,16307,14624,1683,41
"Michigan Ave & 18th St",41.857926,-87.624336,16091,14727,1364,42
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,16091,14727,1364,42
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,16014,14759,1255,43
"Wabash Ave & 16th St",41.860384,-87.625813,16014,14759,1255,43
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,15991,14686,1305,44
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,15991,14686,1305,44
